data,ID,pro_com_t,pro_com,comune, totale_casi,fonte
20/03/2020 12:00:00,1,086001,86001,Agira,4,https://enna.gds.it/articoli/cronaca/2020/03/20/il-virus-ha-ucciso-di-nuovo-triplicato-il-numero-dei-contagi-nellennese-453f85f0-b584-4c9f-b88e-ab99f8eb7c90/ 
20/03/2020 12:00:00,2,086002,86002,Aidone,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,3,086003,86003,Assoro,2,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,4,086004,86004,Barrafranca,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,5,086005,86005,Calascibetta,1,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,6,086006,86006,Catenanuova,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,7,086007,86007,Centuripe,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,8,086008,86008,Cerami,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,9,086009,86009,Enna,2,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,10,086010,86010,Gagliano Castelferrato,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,11,086011,86011,Leonforte,5,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,12,086012,86012,Nicosia,2,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,13,086013,86013,Nissoria,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,14,086014,86014,Piazza Armerina,4,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,15,086015,86015,Pietraperzia,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,16,086016,86016,Regalbuto,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,17,086017,86017,Sperlinga,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,18,086018,86018,Troina,5,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,19,086019,86019,Valguarnera Caropepe,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
20/03/2020 12:00:00,20,086020,86020,Villarosa,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698001667403075/?type=3&theater 
21/03/2020 12:00:00,1,086001,86001,Agira,5,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,2,086002,86002,Aidone,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,3,086003,86003,Assoro,2,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,4,086004,86004,Barrafranca,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,5,086005,86005,Calascibetta,1,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,6,086006,86006,Catenanuova,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,7,086007,86007,Centuripe,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,8,086008,86008,Cerami,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,9,086009,86009,Enna,3,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,10,086010,86010,Gagliano Castelferrato,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,11,086011,86011,Leonforte,5,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,12,086012,86012,Nicosia,2,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,13,086013,86013,Nissoria,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,14,086014,86014,Piazza Armerina,4,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,15,086015,86015,Pietraperzia,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,16,086016,86016,Regalbuto,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,17,086017,86017,Sperlinga,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,18,086018,86018,Troina,5,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,19,086019,86019,Valguarnera Caropepe,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
21/03/2020 12:00:00,20,086020,86020,Villarosa,0,https://www.facebook.com/EPAOfficialPage/photos/a.272620526607860/698673884002520/?type=3&theater
